dataset,battery_name,window_start,mse,mae,rmse,mse_raw,mae_raw,rmse_raw
test_CALCE,CALCE_CS2_35,50,0.08345690781117701,0.28836752479212857,0.28888909257910206,0.08345690781117701,0.28836752479212857,0.28888909257910206
test_CALCE,CALCE_CS2_36,0,0.0010033923498122797,0.02286749957528733,0.03167636894930162,0.0010033923498122797,0.02286749957528733,0.03167636894930162
test_CALCE,CALCE_CS2_36,100,0.0006040828098498848,0.021013246472667762,0.024578096139650132,0.0006040828098498848,0.021013246472667762,0.024578096139650132
test_CALCE,CALCE_CS2_36,150,0.0006181408295058016,0.01917319560016411,0.02486243812472545,0.0006181408295058016,0.01917319560016411,0.02486243812472545
test_CALCE,CALCE_CS2_36,200,0.02349935847286316,0.1526909154714664,0.15329500472247345,0.02349935847286316,0.1526909154714664,0.15329500472247345
test_CALCE,CALCE_CS2_36,250,0.0036897822149019504,0.050324350860853996,0.06074357756094014,0.0036897822149019504,0.050324350860853996,0.06074357756094014
test_CALCE,CALCE_CS2_36,300,0.02192466024698102,0.14262216395282018,0.14806978168073667,0.02192466024698102,0.14262216395282018,0.14806978168073667
test_CALCE,CALCE_CS2_36,350,0.0240639873424352,0.1456925686630598,0.15512571463956323,0.0240639873424352,0.1456925686630598,0.15512571463956323
test_CALCE,CALCE_CS2_36,50,0.00018086386273071436,0.011504702959057785,0.013448563593585539,0.00018086386273071436,0.011504702959057785,0.013448563593585539
test_CALCE,CALCE_CS2_37,0,0.0011934087423627609,0.031846643344562955,0.034545748542516214,0.0011934087423627609,0.031846643344562955,0.034545748542516214
test_CALCE,CALCE_CS2_37,100,0.008095334351664958,0.08913730198765205,0.08997407599783928,0.008095334351664958,0.08913730198765205,0.08997407599783928
test_CALCE,CALCE_CS2_37,150,0.007111017165661172,0.08191635141541091,0.0843268472413215,0.007111017165661172,0.08191635141541091,0.0843268472413215
test_CALCE,CALCE_CS2_37,200,0.010132646039753168,0.09959476153477144,0.10066104529435986,0.010132646039753168,0.09959476153477144,0.10066104529435986
test_CALCE,CALCE_CS2_37,250,0.009676381703216814,0.09710718022900991,0.09836860120595807,0.009676381703216814,0.09710718022900991,0.09836860120595807
test_CALCE,CALCE_CS2_37,300,0.008211240769438704,0.08942109517751753,0.09061589689143237,0.008211240769438704,0.08942109517751753,0.09061589689143237
test_CALCE,CALCE_CS2_37,350,0.0018473927585947833,0.03304568470560751,0.04298130708336804,0.0018473927585947833,0.03304568470560751,0.04298130708336804
test_CALCE,CALCE_CS2_37,400,0.012418001602704277,0.10294575145915637,0.11143608752421397,0.012418001602704277,0.10294575145915637,0.11143608752421397
test_CALCE,CALCE_CS2_37,450,0.0021284960961026884,0.03865984592375507,0.046135627188786416,0.0021284960961026884,0.03865984592375507,0.046135627188786416
test_CALCE,CALCE_CS2_37,50,0.007923107851982941,0.08842353586571713,0.08901184107736981,0.007923107851982941,0.08842353586571713,0.08901184107736981
test_CALCE,CALCE_CS2_38,0,0.02056022239804827,0.14074008259341633,0.1433883621429866,0.02056022239804827,0.14074008259341633,0.1433883621429866
test_CALCE,CALCE_CS2_38,100,0.003949044562704682,0.0608171940593659,0.06284142393918746,0.003949044562704682,0.0608171940593659,0.06284142393918746
test_CALCE,CALCE_CS2_38,150,0.026370243669767895,0.1618412641392311,0.162389173499245,0.026370243669767895,0.1618412641392311,0.162389173499245
test_CALCE,CALCE_CS2_38,200,0.0002678923662827148,0.013734643568911355,0.016367417825751098,0.0002678923662827148,0.013734643568911355,0.016367417825751098
test_CALCE,CALCE_CS2_38,250,0.008393575617157964,0.09095377560852133,0.09161645931358603,0.008393575617157964,0.09095377560852133,0.09161645931358603
test_CALCE,CALCE_CS2_38,300,0.009167734911315393,0.09482326174159562,0.09574828933884612,0.009167734911315393,0.09482326174159562,0.09574828933884612
test_CALCE,CALCE_CS2_38,350,0.006691500008622941,0.07939024022022859,0.08180158927932232,0.006691500008622941,0.07939024022022859,0.08180158927932232
test_CALCE,CALCE_CS2_38,400,0.0065549997020464155,0.07331980060294414,0.08096295265148384,0.0065549997020464155,0.07331980060294414,0.08096295265148384
test_CALCE,CALCE_CS2_38,450,0.014878296133556113,0.11597699835939831,0.12197662125815796,0.014878296133556113,0.11597699835939831,0.12197662125815796
test_CALCE,CALCE_CS2_38,50,0.011157242549206175,0.1043936934210189,0.10562784930692366,0.011157242549206175,0.1043936934210189,0.10562784930692366
test_CALCE,CALCE_CX2_16,0,0.006168985954309647,0.07811160196655925,0.07854289244934673,0.006168985954309647,0.07811160196655925,0.07854289244934673
test_CALCE,CALCE_CX2_16,100,0.013519458821686807,0.11599348735288954,0.11627320766920816,0.013519458821686807,0.11599348735288954,0.11627320766920816
test_CALCE,CALCE_CX2_16,150,0.0008304384641206122,0.02673143298325937,0.028817329232956553,0.0008304384641206122,0.02673143298325937,0.028817329232956553
test_CALCE,CALCE_CX2_16,200,0.0012280709226139364,0.033304154106534214,0.03504384286310416,0.0012280709226139364,0.033304154106534214,0.03504384286310416
test_CALCE,CALCE_CX2_16,250,0.015989431429180984,0.12613338429849374,0.12644932356157934,0.015989431429180984,0.12613338429849374,0.12644932356157934
test_CALCE,CALCE_CX2_16,300,0.0001423508512371565,0.010010776910513277,0.011931087596575447,0.0001423508512371565,0.010010776910513277,0.011931087596575447
test_CALCE,CALCE_CX2_16,350,0.0009959833950444398,0.03055356006645528,0.03155920460094709,0.0009959833950444398,0.03055356006645528,0.03155920460094709
test_CALCE,CALCE_CX2_16,400,0.0005800070860978466,0.022032751030098954,0.024083336274234236,0.0005800070860978466,0.022032751030098954,0.024083336274234236
test_CALCE,CALCE_CX2_16,450,0.0025186426340668435,0.04936264225219325,0.05018608008269667,0.0025186426340668435,0.04936264225219325,0.05018608008269667
test_CALCE,CALCE_CX2_16,50,0.0002028083147019785,0.0116768459163192,0.014241078424823679,0.0002028083147019785,0.0116768459163192,0.014241078424823679
test_CALCE,CALCE_CX2_16,500,0.0006390381196237738,0.02054704709889453,0.025279203302789703,0.0006390381196237738,0.02054704709889453,0.025279203302789703
test_CALCE,CALCE_CX2_16,550,0.0058463068529966454,0.07480805773936183,0.07646114603507226,0.0058463068529966454,0.07480805773936183,0.07646114603507226
test_CALCE,CALCE_CX2_16,600,0.002063981107832301,0.039695243324413494,0.04543105884559924,0.002063981107832301,0.039695243324413494,0.04543105884559924
test_CALCE,CALCE_CX2_16,650,0.012370426854050844,0.10789738538408233,0.11122242064462923,0.012370426854050844,0.10789738538408233,0.11122242064462923
test_CALCE,CALCE_CX2_16,700,0.015493890655186707,0.12130244315494725,0.12447445784250963,0.015493890655186707,0.12130244315494725,0.12447445784250963
test_CALCE,CALCE_CX2_16,750,0.018247283441601647,0.130788161103874,0.13508250605315866,0.018247283441601647,0.130788161103874,0.13508250605315866
