dataset,battery_name,window_start,mse,mae,rmse,mape,mse_raw,mae_raw,rmse_raw,mape_raw
test_CALCE,CALCE_CS2_33,0,0.009691300360519812,0.0955102123324091,0.0984444023828669,0.09965194523834452,0.009691300360519812,0.0955102123324091,0.0984444023828669,0.09965194523834452
test_CALCE,CALCE_CS2_33,100,0.00486889536961672,0.06843266606100834,0.0697774703583952,0.07385380531437083,0.00486889536961672,0.06843266606100834,0.0697774703583952,0.07385380531437083
test_CALCE,CALCE_CS2_33,150,0.0038332508048369183,0.061085396324768906,0.06191325225536871,0.06701975037822366,0.0038332508048369183,0.061085396324768906,0.06191325225536871,0.06701975037822366
test_CALCE,CALCE_CS2_33,200,0.0029755918796385665,0.05373204413298297,0.054548986055091495,0.060070131670694756,0.0029755918796385665,0.05373204413298297,0.054548986055091495,0.060070131670694756
test_CALCE,CALCE_CS2_33,250,0.0019874655196677905,0.03986365741766458,0.04458099953643694,0.045254116016590726,0.0019874655196677905,0.03986365741766458,0.04458099953643694,0.045254116016590726
test_CALCE,CALCE_CS2_33,300,0.0016391220635536819,0.03586525108331318,0.04048607246391877,0.0428269997638578,0.0016391220635536819,0.03586525108331318,0.04048607246391877,0.0428269997638578
test_CALCE,CALCE_CS2_33,50,0.006444303377388552,0.07888647719100393,0.08027641856353927,0.08389197969426791,0.006444303377388552,0.07888647719100393,0.08027641856353927,0.08389197969426791
test_CALCE,CALCE_CS2_34,0,0.005123497204592262,0.07024299274567936,0.0715786085684282,0.07352404270627455,0.005123497204592262,0.07024299274567936,0.0715786085684282,0.07352404270627455
test_CALCE,CALCE_CS2_34,100,0.003179150833774275,0.055078519377081706,0.05638395901117866,0.05973466330981848,0.003179150833774275,0.055078519377081706,0.05638395901117866,0.05973466330981848
test_CALCE,CALCE_CS2_34,150,0.002703383911572083,0.050387987876596554,0.05199407573533819,0.05554862566906584,0.002703383911572083,0.050387987876596554,0.05199407573533819,0.05554862566906584
