dataset,battery_name,window_start,mse,mae,rmse,mape,mse_raw,mae_raw,rmse_raw,mape_raw
test_CALCE,CALCE_CS2_33,0,0.007750580438742707,0.08553433880249806,0.08803738091710081,0.08925906448095475,0.007750580438742707,0.08553433880249806,0.08803738091710081,0.08925906448095475
test_CALCE,CALCE_CS2_33,100,0.004183873116087095,0.06167675494917667,0.06468286570713372,0.06638729098354157,0.004183873116087095,0.06167675494917667,0.06468286570713372,0.06638729098354157
test_CALCE,CALCE_CS2_33,150,0.004665399282084075,0.0652725661643592,0.0683037281711919,0.07223478536436387,0.004665399282084075,0.0652725661643592,0.0683037281711919,0.07223478536436387
test_CALCE,CALCE_CS2_33,200,0.0008192001206943835,0.025129860515209424,0.02862167222044134,0.0278678852158421,0.0008192001206943835,0.025129860515209424,0.02862167222044134,0.0278678852158421
test_CALCE,CALCE_CS2_33,250,0.0029645120009992947,0.04810000750954188,0.05444733235888876,0.054508375820440325,0.0029645120009992947,0.04810000750954188,0.05444733235888876,0.054508375820440325
test_CALCE,CALCE_CS2_33,300,0.0017455241273793675,0.03620484758564513,0.0417794701663313,0.042519554898361775,0.0017455241273793675,0.03620484758564513,0.0417794701663313,0.042519554898361775
test_CALCE,CALCE_CS2_33,50,0.0004024624783136127,0.017261715973419297,0.020061467501496812,0.018462943156946406,0.0004024624783136127,0.017261715973419297,0.020061467501496812,0.018462943156946406
test_CALCE,CALCE_CS2_34,0,0.010833918304247537,0.10190214167718267,0.1040861100447487,0.10654515997986178,0.010833918304247537,0.10190214167718267,0.1040861100447487,0.10654515997986178
test_CALCE,CALCE_CS2_34,100,0.008106128008707435,0.08900259146389278,0.09003403805621202,0.09647602848062505,0.008106128008707435,0.08900259146389278,0.09003403805621202,0.09647602848062505
test_CALCE,CALCE_CS2_34,150,0.0004708368242021092,0.016762515604092035,0.02169877471660806,0.01869693014125798,0.0004708368242021092,0.016762515604092035,0.02169877471660806,0.01869693014125798
test_CALCE,CALCE_CS2_34,200,0.0012781982342743687,0.02437587810232613,0.03575189833105885,0.028652640096359976,0.0012781982342743687,0.02437587810232613,0.03575189833105885,0.028652640096359976
