dataset,battery_name,window_start,mse,mae,rmse,mape,mse_raw,mae_raw,rmse_raw,mape_raw
test_CALCE,CALCE_CS2_33,0,0.015167036894911928,0.1217958949510271,0.12315452445976935,0.12732509719214802,0.015167036894911928,0.1217958949510271,0.12315452445976935,0.12732509719214802
test_CALCE,CALCE_CS2_33,100,0.0016674120789221696,0.03738683044680393,0.04083395742420969,0.04015165766392173,0.0016674120789221696,0.03738683044680393,0.04083395742420969,0.04015165766392173
test_CALCE,CALCE_CS2_33,150,0.008234829856857733,0.09015434256710136,0.09074596330888628,0.09895462690875,0.008234829856857733,0.09015434256710136,0.09074596330888628,0.09895462690875
test_CALCE,CALCE_CS2_33,200,0.02230109156186528,0.14847615066412617,0.1493355000054082,0.16618726095298045,0.02230109156186528,0.14847615066412617,0.1493355000054082,0.16618726095298045
test_CALCE,CALCE_CS2_33,250,0.004848417494573098,0.06165831716138044,0.06963057873214251,0.06985376978600258,0.004848417494573098,0.06165831716138044,0.06963057873214251,0.06985376978600258
test_CALCE,CALCE_CS2_33,300,0.024110408769653348,0.14490548310808327,0.15527526773331723,0.17956904359450632,0.024110408769653348,0.14490548310808327,0.15527526773331723,0.17956904359450632
test_CALCE,CALCE_CS2_33,50,0.0009701031229437103,0.024081113927540313,0.031146478499883584,0.02603116617720161,0.0009701031229437103,0.024081113927540313,0.031146478499883584,0.02603116617720161
test_CALCE,CALCE_CS2_34,0,0.0028190159139097194,0.0518302006590781,0.05309440567432429,0.054378811269683636,0.0028190159139097194,0.0518302006590781,0.05309440567432429,0.054378811269683636
test_CALCE,CALCE_CS2_34,100,0.0037441363943448848,0.057142965403229884,0.061189348700120064,0.06255147042265997,0.0037441363943448848,0.057142965403229884,0.061189348700120064,0.06255147042265997
test_CALCE,CALCE_CS2_34,150,0.024417094664566506,0.15572569706505787,0.15625970262536182,0.17187438811668826,0.024417094664566506,0.15572569706505787,0.15625970262536182,0.17187438811668826
test_CALCE,CALCE_CS2_34,200,0.0012297622475651085,0.03185304639030744,0.035067966116744044,0.035884348089171604,0.0012297622475651085,0.03185304639030744,0.035067966116744044,0.035884348089171604
test_CALCE,CALCE_CS2_34,50,0.002801827929816042,0.05162949082301536,0.05293229571647202,0.05503332877373073,0.002801827929816042,0.05162949082301536,0.05293229571647202,0.05503332877373073
test_CALCE,CALCE_CS2_35,0,0.0038866210570596125,0.05717452663355569,0.062342770688024546,0.060330058714548204,0.0038866210570596125,0.05717452663355569,0.062342770688024546,0.060330058714548204
test_CALCE,CALCE_CS2_35,100,0.02027623659540274,0.14167052030261995,0.14239465086653622,0.15618035305955721,0.02027623659540274,0.14167052030261995,0.14239465086653622,0.15618035305955721
test_CALCE,CALCE_CS2_35,150,0.015241715541807959,0.12259222443594324,0.12345734300481263,0.1360647286428761,0.015241715541807959,0.12259222443594324,0.12345734300481263,0.1360647286428761
test_CALCE,CALCE_CS2_35,200,0.0002678863476514421,0.01226333520289947,0.016367233964584307,0.01384866318211024,0.0002678863476514421,0.01226333520289947,0.016367233964584307,0.01384866318211024
test_CALCE,CALCE_CS2_35,250,0.0005838338536552184,0.01960585547238982,0.024162654110325265,0.02271234018938192,0.0005838338536552184,0.01960585547238982,0.024162654110325265,0.02271234018938192
test_CALCE,CALCE_CS2_35,300,0.0026681391160234013,0.045320046822063184,0.05165403291151042,0.05184859708289261,0.0026681391160234013,0.045320046822063184,0.05165403291151042,0.05184859708289261
test_CALCE,CALCE_CS2_35,350,0.006891786027818153,0.07606628435559687,0.08301678160358997,0.09296793250767488,0.006891786027818153,0.07606628435559687,0.08301678160358997,0.09296793250767488
test_CALCE,CALCE_CS2_35,50,0.01583148905835875,0.12469459359782313,0.1258232453021251,0.135524578316961,0.01583148905835875,0.12469459359782313,0.1258232453021251,0.135524578316961
test_CALCE,CALCE_CS2_36,0,0.03679807820919698,0.19116227949220554,0.19182825185357077,0.20132167466663284,0.03679807820919698,0.19116227949220554,0.19182825185357077,0.20132167466663284
test_CALCE,CALCE_CS2_36,100,0.010383184851783703,0.10122679907092699,0.10189791387356123,0.10924548639680509,0.010383184851783703,0.10122679907092699,0.10189791387356123,0.10924548639680509
test_CALCE,CALCE_CS2_36,150,0.015383149031104775,0.12354042060438541,0.12402882338837523,0.1351478132414585,0.015383149031104775,0.12354042060438541,0.12402882338837523,0.1351478132414585
test_CALCE,CALCE_CS2_36,200,0.010669242501236123,0.10255967617646061,0.10329202535160265,0.1142385977625732,0.010669242501236123,0.10255967617646061,0.10329202535160265,0.1142385977625732
test_CALCE,CALCE_CS2_36,250,0.020823079426860035,0.14255662642496195,0.14430204235165917,0.16228820282569173,0.020823079426860035,0.14255662642496195,0.14430204235165917,0.16228820282569173
test_CALCE,CALCE_CS2_36,300,0.012793606577103734,0.10449810600423085,0.11310882625641437,0.12667592601709873,0.012793606577103734,0.10449810600423085,0.11310882625641437,0.12667592601709873
test_CALCE,CALCE_CS2_36,350,0.010833366274051176,0.09174627894490872,0.10408345821527634,0.11791256104404567,0.010833366274051176,0.09174627894490872,0.10408345821527634,0.11791256104404567
test_CALCE,CALCE_CS2_36,50,0.02951965480932135,0.17141979308461316,0.17181284820793044,0.18323117513615664,0.02951965480932135,0.17141979308461316,0.17181284820793044,0.18323117513615664
test_CALCE,CALCE_CS2_37,0,0.009204350852260144,0.09275862542611345,0.09593930817063538,0.09837079623263811,0.009204350852260144,0.09275862542611345,0.09593930817063538,0.09837079623263811
test_CALCE,CALCE_CS2_37,100,0.01240243373337673,0.11063359374428199,0.11136621450591166,0.12113839315516131,0.01240243373337673,0.11063359374428199,0.11136621450591166,0.12113839315516131
test_CALCE,CALCE_CS2_37,150,0.009498767379913078,0.09665441533158692,0.09746162003534047,0.1072949287152015,0.009498767379913078,0.09665441533158692,0.09746162003534047,0.1072949287152015
test_CALCE,CALCE_CS2_37,200,0.0008403551330927413,0.02408377046053873,0.02898887947287272,0.026860927893711882,0.0008403551330927413,0.02408377046053873,0.02898887947287272,0.026860927893711882
test_CALCE,CALCE_CS2_37,250,0.004025745996215963,0.061091676822485244,0.06344876670366385,0.07021286246513207,0.004025745996215963,0.061091676822485244,0.06344876670366385,0.07021286246513207
test_CALCE,CALCE_CS2_37,300,0.011218843728295158,0.10526089675725878,0.10591904327501811,0.12200316236169768,0.011218843728295158,0.10526089675725878,0.10591904327501811,0.12200316236169768
test_CALCE,CALCE_CS2_37,350,0.02110120625359494,0.1421194455131217,0.14526254250010545,0.17018781152089557,0.02110120625359494,0.1421194455131217,0.14526254250010545,0.17018781152089557
test_CALCE,CALCE_CS2_37,400,0.0012094272606815223,0.030588070784582283,0.03477682073855404,0.03811135939454284,0.0012094272606815223,0.030588070784582283,0.03477682073855404,0.03811135939454284
test_CALCE,CALCE_CS2_37,450,0.004115779038509612,0.05295505726049063,0.0641543376437604,0.0652790286976226,0.004115779038509612,0.05295505726049063,0.0641543376437604,0.0652790286976226
test_CALCE,CALCE_CS2_37,50,0.0007789331173907975,0.02343552139838661,0.0279093732891084,0.025614769818446313,0.0007789331173907975,0.02343552139838661,0.0279093732891084,0.025614769818446313
test_CALCE,CALCE_CS2_38,0,0.0360672885107337,0.18846577826306735,0.18991389762398564,0.20139330526023896,0.0360672885107337,0.18846577826306735,0.18991389762398564,0.20139330526023896
test_CALCE,CALCE_CS2_38,100,0.004141146484533607,0.06113665409373632,0.06435174033803287,0.06805652200779588,0.004141146484533607,0.06113665409373632,0.06435174033803287,0.06805652200779588
test_CALCE,CALCE_CS2_38,150,0.022393859179270885,0.14922059304576718,0.14964577902256676,0.16723657449902624,0.022393859179270885,0.14922059304576718,0.14964577902256676,0.16723657449902624
test_CALCE,CALCE_CS2_38,200,0.006294545371156059,0.07814794439457334,0.07933817095923033,0.08867254638972953,0.006294545371156059,0.07814794439457334,0.07933817095923033,0.08867254638972953
test_CALCE,CALCE_CS2_38,250,0.0002801630363979863,0.013099046761154675,0.016738071465912264,0.015098069068255934,0.0002801630363979863,0.013099046761154675,0.016738071465912264,0.015098069068255934
test_CALCE,CALCE_CS2_38,300,0.0002894838805500623,0.012568899495938268,0.017014225828701764,0.014730508308402621,0.0002894838805500623,0.012568899495938268,0.017014225828701764,0.014730508308402621
test_CALCE,CALCE_CS2_38,350,0.004549141154965918,0.06253700751323898,0.0674473213327699,0.07497269513859044,0.004549141154965918,0.06253700751323898,0.0674473213327699,0.07497269513859044
test_CALCE,CALCE_CS2_38,400,0.005666673238504336,0.06969496482032946,0.07527730892177494,0.08343063883288783,0.005666673238504336,0.06969496482032946,0.07527730892177494,0.08343063883288783
test_CALCE,CALCE_CS2_38,450,0.0018993279549374383,0.034404687203578053,0.04358127986805158,0.04186982409206017,0.0018993279549374383,0.034404687203578053,0.04358127986805158,0.04186982409206017
