dataset,battery_name,window_start,mse,mae,rmse,mape,mse_raw,mae_raw,rmse_raw,mape_raw
test_CALCE,CALCE_CS2_33,0,0.009691219663438303,0.09550986334721394,0.09844399252081512,0.0996515848115153,0.009691219663438303,0.09550986334721394,0.09844399252081512,0.0996515848115153
test_CALCE,CALCE_CS2_33,100,0.004868795439248568,0.06843195765980518,0.069776754290011,0.07385304023174681,0.004868795439248568,0.06843195765980518,0.069776754290011,0.07385304023174681
test_CALCE,CALCE_CS2_33,150,0.003833177212834488,0.06108481011308754,0.06191265793708495,0.06701910812097568,0.003833177212834488,0.06108481011308754,0.06191265793708495,0.06701910812097568
test_CALCE,CALCE_CS2_33,200,0.002975534621058451,0.053731525274550204,0.054548461216229104,0.06006955237059255,0.002975534621058451,0.053731525274550204,0.054548461216229104,0.06006955237059255
test_CALCE,CALCE_CS2_33,250,0.0019874448537281313,0.03986346936501031,0.044580767756153904,0.04525390692719693,0.0019874448537281313,0.03986346936501031,0.044580767756153904,0.04525390692719693
test_CALCE,CALCE_CS2_33,300,0.001639117669622106,0.03586525108331318,0.040486018199152485,0.04282702652451155,0.001639117669622106,0.03586525108331318,0.040486018199152485,0.04282702652451155
test_CALCE,CALCE_CS2_33,50,0.006444168680510889,0.07888563795760549,0.08027557960245998,0.08389108536846175,0.006444168680510889,0.07888563795760549,0.08027557960245998,0.08389108536846175
test_CALCE,CALCE_CS2_34,0,0.005122871111297618,0.07023841332082126,0.0715742349683014,0.07351920491499443,0.005122871111297618,0.07023841332082126,0.0715742349683014,0.07351920491499443
test_CALCE,CALCE_CS2_34,100,0.003178438619026158,0.05507201561626704,0.056377642900587444,0.05972756839342729,0.003178438619026158,0.05507201561626704,0.056377642900587444,0.05972756839342729
test_CALCE,CALCE_CS2_34,150,0.002702611210804963,0.050380339110555755,0.05198664454266079,0.05554015654532762,0.002702611210804963,0.050380339110555755,0.05198664454266079,0.05554015654532762
test_CALCE,CALCE_CS2_34,200,0.0020936677984122543,0.04442554007937625,0.04575661480499026,0.05010081334652744,0.0020936677984122543,0.04442554007937625,0.04575661480499026,0.05010081334652744
test_CALCE,CALCE_CS2_34,50,0.0039685471529188904,0.06201175776170173,0.06299640587302494,0.06622761809907454,0.0039685471529188904,0.06201175776170173,0.06299640587302494,0.06622761809907454
test_CALCE,CALCE_CS2_35,0,0.01605166106265031,0.12392222243719797,0.12669515011495236,0.13154326467579142,0.01605166106265031,0.12392222243719797,0.12669515011495236,0.13154326467579142
test_CALCE,CALCE_CS2_35,100,0.008088697541825039,0.08802855133708955,0.08993718664615342,0.09681861630729838,0.008088697541825039,0.08802855133708955,0.08993718664615342,0.09681861630729838
test_CALCE,CALCE_CS2_35,150,0.006626582678831676,0.07942326183809625,0.0814038247186929,0.08795817045637598,0.006626582678831676,0.07942326183809625,0.0814038247186929,0.08795817045637598
test_CALCE,CALCE_CS2_35,200,0.004673416882128813,0.06721091782149381,0.06836239377120153,0.07554707330556347,0.004673416882128813,0.06721091782149381,0.06836239377120153,0.07554707330556347
test_CALCE,CALCE_CS2_35,250,0.0033320131719892006,0.05517274344275094,0.05772359285412855,0.06264037053530175,0.0033320131719892006,0.05517274344275094,0.05772359285412855,0.06264037053530175
test_CALCE,CALCE_CS2_35,300,0.002284774386937148,0.04159422633945051,0.04779931366596332,0.04754791161002617,0.002284774386937148,0.04159422633945051,0.04779931366596332,0.04754791161002617
test_CALCE,CALCE_CS2_35,350,0.0011758808601997541,0.027075976392381493,0.03429111926140286,0.031617635533675054,0.0011758808601997541,0.027075976392381493,0.03429111926140286,0.031617635533675054
test_CALCE,CALCE_CS2_35,50,0.011050367043444287,0.10335834508078669,0.1051207260412726,0.1121470436415077,0.011050367043444287,0.10335834508078669,0.1051207260412726,0.1121470436415077
test_CALCE,CALCE_CS2_36,0,0.016145072752380505,0.12541185820657627,0.12706326279605962,0.13185892284380177,0.016145072752380505,0.12541185820657627,0.12706326279605962,0.13185892284380177
test_CALCE,CALCE_CS2_36,100,0.009541606927341855,0.09663658905038484,0.09768114929371918,0.10424705580552925,0.009541606927341855,0.09663658905038484,0.09768114929371918,0.10424705580552925
test_CALCE,CALCE_CS2_36,150,0.007459107959438332,0.0852570048696175,0.08636612738474692,0.09314190794524592,0.007459107959438332,0.0852570048696175,0.08636612738474692,0.09314190794524592
test_CALCE,CALCE_CS2_36,200,0.005456003231860725,0.07235920042410694,0.07386476312735812,0.08035615663410574,0.005456003231860725,0.07235920042410694,0.07386476312735812,0.08035615663410574
test_CALCE,CALCE_CS2_36,250,0.003807063952997293,0.0583637513973054,0.061701409651622165,0.06603149921664932,0.003807063952997293,0.0583637513973054,0.061701409651622165,0.06603149921664932
test_CALCE,CALCE_CS2_36,300,0.0022987642511636524,0.04346122345022438,0.047945429929907316,0.05071309744798008,0.0022987642511636524,0.04346122345022438,0.047945429929907316,0.05071309744798008
test_CALCE,CALCE_CS2_36,350,0.0018144254261100695,0.038974759494374005,0.04259607289539811,0.048626809614066985,0.0018144254261100695,0.038974759494374005,0.04259607289539811,0.048626809614066985
test_CALCE,CALCE_CS2_36,50,0.012036724015834024,0.10849970729684003,0.10971200488476192,0.11587053718651281,0.012036724015834024,0.10849970729684003,0.10971200488476192,0.11587053718651281
test_CALCE,CALCE_CS2_37,0,0.016186206276994523,0.12503587690812332,0.127225022212592,0.13280797216243762,0.016186206276994523,0.12503587690812332,0.127225022212592,0.13280797216243762
test_CALCE,CALCE_CS2_37,100,0.009238716434089923,0.09503342384720252,0.09611824194235932,0.10396016192617565,0.009238716434089923,0.09503342384720252,0.09611824194235932,0.10396016192617565
test_CALCE,CALCE_CS2_37,150,0.007124149271708124,0.08298888405393036,0.0844046756507489,0.09188134402387306,0.007124149271708124,0.08298888405393036,0.0844046756507489,0.09188134402387306
test_CALCE,CALCE_CS2_37,200,0.005148869988907772,0.0702624643884511,0.07175562687976304,0.07906881195732407,0.005148869988907772,0.0702624643884511,0.07175562687976304,0.07906881195732407
