battery,window_start,mse_win,mae_win,rmse_win,mse_bat,mae_bat,rmse_bat
HUST_1-2,2050,0.000059,0.006518,0.007673,0.000536,0.021184,0.023155
HUST_1-2,2100,0.000040,0.005223,0.006311,0.000596,0.022379,0.024408
HUST_1-2,2150,0.000016,0.002752,0.004041,0.000658,0.023524,0.025661
HUST_1-2,2200,0.000008,0.002041,0.002871,0.000722,0.024674,0.026873
HUST_1-2,2250,0.000014,0.003286,0.003785,0.000788,0.025868,0.028080
HUST_1-2,2300,0.000035,0.005058,0.005950,0.000906,0.027931,0.030108
HUST_1-2,2350,0.000038,0.005494,0.006171,0.001103,0.031029,0.033207
HUST_1-2,2400,0.000031,0.004635,0.005565,0.001330,0.034212,0.036472
HUST_1-2,2450,0.000025,0.004106,0.005032,0.001629,0.038039,0.040366
HUST_1-3,0,0.000152,0.011526,0.012310,0.006593,0.058826,0.081196
HUST_1-3,50,0.000098,0.009033,0.009914,0.006353,0.057624,0.079703
HUST_1-3,100,0.000057,0.006569,0.007579,0.006077,0.056287,0.077957
HUST_1-3,150,0.000035,0.004863,0.005875,0.005751,0.054705,0.075838
HUST_1-3,200,0.000021,0.003741,0.004560,0.005407,0.053026,0.073535
HUST_1-3,250,0.000015,0.003097,0.003820,0.005014,0.051064,0.070807
HUST_1-3,300,0.000013,0.002870,0.003580,0.004610,0.049041,0.067897
HUST_1-3,350,0.000016,0.003277,0.003976,0.004221,0.047009,0.064968
HUST_1-3,400,0.000016,0.003392,0.004052,0.003887,0.045236,0.062342
HUST_1-3,450,0.000019,0.003746,0.004410,0.003507,0.043223,0.059217
HUST_1-3,500,0.000022,0.004014,0.004734,0.003149,0.041315,0.056119
HUST_1-3,550,0.000024,0.004173,0.004919,0.002753,0.039161,0.052473
HUST_1-3,600,0.000025,0.004231,0.005036,0.002410,0.037243,0.049092
HUST_1-3,650,0.000023,0.004023,0.004839,0.002056,0.035189,0.045340
HUST_1-3,700,0.000024,0.004095,0.004936,0.001765,0.033427,0.042008
HUST_1-3,750,0.000026,0.004170,0.005063,0.001473,0.031538,0.038385
