dataset,battery_name,window_start,mse,mae,rmse
test_CALCE,CALCE_CS2_33,0,0.002108847768747126,0.044278968125980554,0.04592219255160979
test_CALCE,CALCE_CS2_33,100,0.0006297638644534861,0.02413801506627378,0.02509509642247836
test_CALCE,CALCE_CS2_33,150,0.0007543833471657733,0.02684353303758683,0.027466039888665663
test_CALCE,CALCE_CS2_33,200,0.0001459797499353867,0.009562140354523244,0.012082207990900781
test_CALCE,CALCE_CS2_33,250,0.00017456350885024265,0.00931365334754038,0.01321224844037693
test_CALCE,CALCE_CS2_33,300,0.0008288448212153528,0.02376589990940455,0.028789665180674693
test_CALCE,CALCE_CS2_33,50,0.00016507370409075676,0.0110946461168537,0.012848101186197
test_CALCE,CALCE_CS2_34,0,0.0014457821821882166,0.036502487765592076,0.03802344253468137
test_CALCE,CALCE_CS2_34,100,0.0016704761305063112,0.03987237697392043,0.04087145862954136
test_CALCE,CALCE_CS2_34,150,0.0006779213455567345,0.02304774629120464,0.026036922735928964
test_CALCE,CALCE_CS2_34,200,0.0019225166816048216,0.03925825833966409,0.043846512764469894
test_CALCE,CALCE_CS2_34,50,0.0007455751537738839,0.025617418466009383,0.027305222097135262
test_CALCE,CALCE_CS2_35,0,0.0030004402264851683,0.05011360454731683,0.054776274302704896
test_CALCE,CALCE_CS2_35,100,0.001497980534075882,0.03665068119462967,0.03870375348820682
test_CALCE,CALCE_CS2_35,150,0.000690506292840067,0.022808390271648812,0.02627748642545681
test_CALCE,CALCE_CS2_35,200,0.00044430856080555567,0.017258247969722525,0.021078628057953765
test_CALCE,CALCE_CS2_35,250,0.00023765118179973295,0.011930158039934762,0.015415939212377978
test_CALCE,CALCE_CS2_35,300,0.00022348981830357494,0.011430385335958953,0.014949575856979185
test_CALCE,CALCE_CS2_35,350,0.0005318595764968275,0.01830213097115579,0.023062080922952886
test_CALCE,CALCE_CS2_35,50,0.0014113861854080545,0.033517781840648,0.03756842005472222
test_CALCE,CALCE_CS2_36,0,0.007089689391543541,0.08264344835836308,0.08420029329844131
test_CALCE,CALCE_CS2_36,100,0.0012973245285248642,0.03273349154004702,0.03601839153161707
test_CALCE,CALCE_CS2_36,150,0.0008023115246805757,0.02558228023115543,0.028325104142448897
test_CALCE,CALCE_CS2_36,200,0.00025301116264047626,0.013113948966802408,0.015906324611313458
test_CALCE,CALCE_CS2_36,250,0.0006042608738152008,0.020964542515228512,0.024581718284432452
test_CALCE,CALCE_CS2_36,300,0.0009380839691449733,0.026062730651731057,0.030628156476434774
test_CALCE,CALCE_CS2_36,350,0.0021187427307212724,0.037994577618693126,0.046029802636132086
test_CALCE,CALCE_CS2_36,50,0.000651588571136858,0.01994522980806025,0.025526232999345165
test_CALCE,CALCE_CS2_37,0,0.004874843453830262,0.06695537713986617,0.06982007915943853
test_CALCE,CALCE_CS2_37,100,0.0008850230536763635,0.026035883586950196,0.029749337029190474
test_CALCE,CALCE_CS2_37,150,0.0008355620231416522,0.026276800724928277,0.028906089724168024
test_CALCE,CALCE_CS2_37,200,0.0006598641432282433,0.02330993589589457,0.02568782091241379
test_CALCE,CALCE_CS2_37,250,0.0004762475096360774,0.018955516461563005,0.021823095784880692
test_CALCE,CALCE_CS2_37,300,0.0010904008043302548,0.031043110141843407,0.03302121748709842
test_CALCE,CALCE_CS2_37,350,0.0013375667219669403,0.03435287085278533,0.03657275928839579
test_CALCE,CALCE_CS2_37,400,0.0012984063155670536,0.028164688641444523,0.03603340555050346
test_CALCE,CALCE_CS2_37,450,0.003327232726786841,0.046506476819707106,0.05768216992092826
test_CALCE,CALCE_CS2_37,50,0.001473479307778415,0.03316379241796804,0.03838592590753042
test_CALCE,CALCE_CS2_38,0,0.004688535046328413,0.06496168586776173,0.0684728781805498
test_CALCE,CALCE_CS2_38,100,0.009788423266667913,0.09788176141691814,0.09893646075470819
test_CALCE,CALCE_CS2_38,150,0.0018333978275545065,0.041645315955694547,0.04281819505250667
test_CALCE,CALCE_CS2_38,200,0.001412479654302798,0.035612104419693126,0.0375829702698283
test_CALCE,CALCE_CS2_38,250,0.0015850928186247851,0.03819749441145027,0.03981322416766551
test_CALCE,CALCE_CS2_38,300,0.0013337278356476876,0.03463645642618621,0.036520238712906675
test_CALCE,CALCE_CS2_38,350,0.0012521275905976654,0.030338574768588457,0.0353854149417195
test_CALCE,CALCE_CS2_38,400,0.0009026884202923056,0.025192314324236794,0.030044773593626988
test_CALCE,CALCE_CS2_38,450,0.0017919291344833217,0.03548017780349469,0.04233118394851863
test_CALCE,CALCE_CS2_38,50,0.013922119542886469,0.11720388791335899,0.11799203169234128
test_CALCE,CALCE_CX2_16,0,0.00517544311485999,0.07164577712410625,0.07194055264494421
test_CALCE,CALCE_CX2_16,100,0.00029507173982161396,0.0112734306588638,0.017177652337313557
test_CALCE,CALCE_CX2_16,150,0.0009150852723251748,0.027173205903192353,0.03025037639972724
test_CALCE,CALCE_CX2_16,200,0.0017829931314794394,0.040209346583926,0.042225503330089974
test_CALCE,CALCE_CX2_16,250,0.0017240701172139606,0.03996049512546289,0.04152192333230676
test_CALCE,CALCE_CX2_16,300,0.0015044763546288912,0.03645759613501486,0.03878757990167589
test_CALCE,CALCE_CX2_16,350,0.0012434681601591127,0.029909101520103846,0.035262843903450455
test_CALCE,CALCE_CX2_16,400,0.0006830649736760306,0.020746191452111498,0.02613551173549182
test_CALCE,CALCE_CX2_16,450,0.0002334446923522883,0.010927228699180717,0.015278896961243252
test_CALCE,CALCE_CX2_16,50,0.0006707798386908731,0.023462125211724638,0.025899417728799872
test_CALCE,CALCE_CX2_16,500,0.00044075167311902354,0.01545862494716569,0.02099408662264266
test_CALCE,CALCE_CX2_16,550,0.0004852632720702841,0.01654468597138373,0.02202869201905288
test_CALCE,CALCE_CX2_16,600,0.0007142784951952194,0.020910294342607712,0.02672598913408481
test_CALCE,CALCE_CX2_16,650,0.0005567574359665586,0.02019846465272511,0.023595707998840778
test_CALCE,CALCE_CX2_16,700,0.0008466696996101896,0.025509775322641415,0.029097589240522824
test_CALCE,CALCE_CX2_16,750,0.0016639344235589884,0.03681368878220399,0.04079135231343757
test_CALCE,CALCE_CX2_16,800,0.0012948708077628937,0.0297356331889602,0.035984313356834996
test_CALCE,CALCE_CX2_16,850,0.0005241403769349265,0.020576072379700727,0.022894112276629696
test_CALCE,CALCE_CX2_16,900,0.0009388454440509337,0.027049233233715962,0.030640584916919157
test_CALCE,CALCE_CX2_33,0,0.0043706676599622515,0.06466004649364711,0.0661110252526933
test_CALCE,CALCE_CX2_33,100,0.009997040144222917,0.09928532333342671,0.09998519962585921
test_CALCE,CALCE_CX2_33,150,0.0008627762975946931,0.023771185483720595,0.02937305393714949
test_CALCE,CALCE_CX2_33,200,0.00027579563798320897,0.013159572066137316,0.016607096012946063
test_CALCE,CALCE_CX2_33,250,0.0003174578168389974,0.014078022770829217,0.01781734595384502
test_CALCE,CALCE_CX2_33,300,0.0010211361592305822,0.029292271704757695,0.03195522115759148
test_CALCE,CALCE_CX2_33,350,0.0015207226646526022,0.036245778944521315,0.038996444256529365
test_CALCE,CALCE_CX2_33,400,0.0014638470847165932,0.034737524867726674,0.03826025463475894
test_CALCE,CALCE_CX2_33,450,0.0010999787676649088,0.02927768910759941,0.03316592781251429
test_CALCE,CALCE_CX2_33,50,0.0002430221738853001,0.01125011730585168,0.015589168479598266
test_CALCE,CALCE_CX2_33,500,0.0002864337033545304,0.013495147922072874,0.016924352376221974
test_CALCE,CALCE_CX2_33,550,0.0001463494663967416,0.009838381634837894,0.012097498352830704
test_CALCE,CALCE_CX2_33,600,0.00027299250803929776,0.01332776042367745,0.016522484923258297
test_CALCE,CALCE_CX2_33,650,0.0005895305720607941,0.020478313600089736,0.024280250658936662
test_CALCE,CALCE_CX2_33,700,0.0008332950848859538,0.02665818105801161,0.028866850969337714
test_CALCE,CALCE_CX2_33,750,0.0011834332101219667,0.03287220173689715,0.03440106408415249
test_CALCE,CALCE_CX2_33,800,0.0017895372576652619,0.04048003401491641,0.04230292256647597
test_CALCE,CALCE_CX2_34,0,0.0006030233122017714,0.020199242438534045,0.024556532984152536
test_CALCE,CALCE_CX2_34,100,0.0014661700401490982,0.035852721442042754,0.03829059989278175
test_CALCE,CALCE_CX2_34,150,0.0007980455421701415,0.024850126425902917,0.028249699859824024
test_CALCE,CALCE_CX2_34,200,0.00021150620683301236,0.011638754731234977,0.014543252965998094
