dataset,battery_name,window_start,mse,mae,rmse,mape,mse_raw,mae_raw,rmse_raw,mape_raw
test_CALCE,CALCE_CS2_33,0,0.009071920904916635,0.08391495421568697,0.09524663198726051,0.08839361515559814,0.009071920904916635,0.08391495421568697,0.09524663198726051,0.08839361515559814
test_CALCE,CALCE_CS2_33,100,0.015024368981880072,0.11576455920704638,0.12257393271768705,0.12593425857679183,0.015024368981880072,0.11576455920704638,0.12257393271768705,0.12593425857679183
test_CALCE,CALCE_CS2_33,150,0.018140202297676215,0.13016022375740136,0.1346855682605832,0.143745303168698,0.018140202297676215,0.13016022375740136,0.1346855682605832,0.143745303168698
test_CALCE,CALCE_CS2_33,200,0.02267720969160334,0.14913864436987567,0.15058954044555464,0.1677116683090688,0.02267720969160334,0.14913864436987567,0.15058954044555464,0.1677116683090688
test_CALCE,CALCE_CS2_33,250,0.025595673015526486,0.15931075893771532,0.15998647760209764,0.18503888504700733,0.025595673015526486,0.15931075893771532,0.15998647760209764,0.18503888504700733
test_CALCE,CALCE_CS2_33,300,0.024890140553740968,0.15698169710107657,0.15776609443648204,0.18959754089880967,0.024890140553740968,0.15698169710107657,0.15776609443648204,0.18959754089880967
test_CALCE,CALCE_CS2_33,50,0.01270021122010443,0.10493667556718268,0.11269521382962291,0.1121286422279062,0.01270021122010443,0.10493667556718268,0.11269521382962291,0.1121286422279062
test_CALCE,CALCE_CS2_34,0,0.01458570606221579,0.10358595352057788,0.12077129651624921,0.10976142052017349,0.01458570606221579,0.10358595352057788,0.12077129651624921,0.10976142052017349
test_CALCE,CALCE_CS2_34,100,0.03126901489965033,0.16419015148577007,0.17683046937575642,0.17935612672567178,0.03126901489965033,0.16419015148577007,0.17683046937575642,0.17935612672567178
test_CALCE,CALCE_CS2_34,150,0.040513313738979165,0.19849292495316517,0.20127919350737464,0.21945535255249599,0.040513313738979165,0.19849292495316517,0.20127919350737464,0.21945535255249599
test_CALCE,CALCE_CS2_34,200,0.04172299782958103,0.20231265604349097,0.20426208123286374,0.22931573068557143,0.04172299782958103,0.20231265604349097,0.20426208123286374,0.22931573068557143
test_CALCE,CALCE_CS2_34,50,0.02416117568779917,0.13736355599807182,0.1554386557063563,0.14821919153709517,0.02416117568779917,0.13736355599807182,0.1554386557063563,0.14821919153709517
test_CALCE,CALCE_CS2_35,0,0.04742101936311688,0.21575632351809243,0.2177636777865328,0.23017774645839695,0.04742101936311688,0.21575632351809243,0.2177636777865328,0.23017774645839695
test_CALCE,CALCE_CS2_35,100,0.039129644906358785,0.1967983749478722,0.19781214549758766,0.21739990050566443,0.039129644906358785,0.1967983749478722,0.19781214549758766,0.21739990050566443
test_CALCE,CALCE_CS2_35,150,0.03501050043371945,0.18558741654648173,0.18711093082372138,0.2064216136390563,0.03501050043371945,0.18558741654648173,0.18711093082372138,0.2064216136390563
test_CALCE,CALCE_CS2_35,200,0.03265607025409734,0.1792539144068629,0.18070990635296488,0.2019592528835497,0.03265607025409734,0.1792539144068629,0.18070990635296488,0.2019592528835497
test_CALCE,CALCE_CS2_35,250,0.029660245395900134,0.17101201707432367,0.17222150096866573,0.195501266650827,0.029660245395900134,0.17101201707432367,0.17222150096866573,0.195501266650827
test_CALCE,CALCE_CS2_35,300,0.027033170988280304,0.16338683587961866,0.16441767237216412,0.19053220359284623,0.027033170988280304,0.16338683587961866,0.16441767237216412,0.19053220359284623
test_CALCE,CALCE_CS2_35,350,0.025038525596408748,0.15725150388769688,0.15823566474220896,0.1884913865504279,0.025038525596408748,0.15725150388769688,0.15823566474220896,0.1884913865504279
test_CALCE,CALCE_CS2_35,50,0.043628185391515466,0.20744885240929697,0.2088736110462867,0.2258150070869998,0.043628185391515466,0.20744885240929697,0.2088736110462867,0.2258150070869998
test_CALCE,CALCE_CS2_36,0,0.030966366123736835,0.17135164374668016,0.17597262890499998,0.18101927853737407,0.030966366123736835,0.17135164374668016,0.17597262890499998,0.18101927853737407
