dataset,battery_name,window_start,mse,mae,rmse,mape,mse_raw,mae_raw,rmse_raw,mape_raw
test_CALCE,CALCE_CS2_33,0,0.007467383600036519,0.0824125023190195,0.08641402432497007,0.08587759337030425,0.007467383600036519,0.0824125023190195,0.08641402432497007,0.08587759337030425
test_CALCE,CALCE_CS2_33,100,0.0029324116366374474,0.051618267891490814,0.05415174638585027,0.05558267489530592,0.0029324116366374474,0.051618267891490814,0.05415174638585027,0.05558267489530592
test_CALCE,CALCE_CS2_33,150,0.0019475577877830286,0.04223038992799843,0.044131143060009544,0.046212087606955825,0.0019475577877830286,0.04223038992799843,0.044131143060009544,0.046212087606955825
test_CALCE,CALCE_CS2_33,200,0.0011795568193822036,0.03215980680110145,0.03434467672554516,0.035785552442510866,0.0011795568193822036,0.03215980680110145,0.03434467672554516,0.035785552442510866
test_CALCE,CALCE_CS2_33,250,0.0009500745706020956,0.028981345190021494,0.030823279686011604,0.03361326682545776,0.0009500745706020956,0.028981345190021494,0.030823279686011604,0.03361326682545776
test_CALCE,CALCE_CS2_33,300,0.001969760418943774,0.03847236344196617,0.04438198304429145,0.0478676252655306,0.001969760418943774,0.03847236344196617,0.04438198304429145,0.0478676252655306
test_CALCE,CALCE_CS2_33,50,0.004353305643229171,0.06383461936190998,0.0659795850489314,0.06780531858931706,0.004353305643229171,0.06383461936190998,0.0659795850489314,0.06780531858931706
test_CALCE,CALCE_CS2_34,0,0.0034556489985412917,0.056714844809812044,0.05878476842296218,0.05924376636932746,0.0034556489985412917,0.056714844809812044,0.05878476842296218,0.05924376636932746
test_CALCE,CALCE_CS2_34,100,0.0015132582686891616,0.03673464516100199,0.03890062041522168,0.03973010720937138,0.0015132582686891616,0.03673464516100199,0.03890062041522168,0.03973010720937138
test_CALCE,CALCE_CS2_34,150,0.0010111346620949495,0.028968789065542327,0.031798343700497195,0.0318150508028496,0.0010111346620949495,0.028968789065542327,0.031798343700497195,0.0318150508028496
test_CALCE,CALCE_CS2_34,200,0.0006305300901819654,0.0215623485485665,0.02511035822488332,0.024312164598989147,0.0006305300901819654,0.0215623485485665,0.02511035822488332,0.024312164598989147
test_CALCE,CALCE_CS2_34,50,0.0022607553877936836,0.045924204856619036,0.0475474014830851,0.04893504563103159,0.0022607553877936836,0.045924204856619036,0.0475474014830851,0.04893504563103159
test_CALCE,CALCE_CS2_35,0,0.011194776688695814,0.10186022269898157,0.10580537173837543,0.1079291789400691,0.011194776688695814,0.10186022269898157,0.10580537173837543,0.1079291789400691
test_CALCE,CALCE_CS2_35,100,0.004362677095829576,0.06265409290489198,0.06605056468971007,0.06872284734253137,0.004362677095829576,0.06265409290489198,0.06605056468971007,0.06872284734253137
test_CALCE,CALCE_CS2_35,150,0.0032641561762550755,0.05365179653658258,0.05713279422761568,0.05924221731611086,0.0032641561762550755,0.05365179653658258,0.05713279422761568,0.05924221731611086
test_CALCE,CALCE_CS2_35,200,0.0018373172791489205,0.04075835577435864,0.042863939146430774,0.045720218783164325,0.0018373172791489205,0.04075835577435864,0.042863939146430774,0.045720218783164325
test_CALCE,CALCE_CS2_35,250,0.001140638996657046,0.02919470208162701,0.0337733474304376,0.03294341600601406,0.001140638996657046,0.02919470208162701,0.0337733474304376,0.03294341600601406
test_CALCE,CALCE_CS2_35,300,0.0009120149739016188,0.02533903153595872,0.030199585657780453,0.02916338541051111,0.0009120149739016188,0.02533903153595872,0.030199585657780453,0.02916338541051111
test_CALCE,CALCE_CS2_35,350,0.0009221374461860415,0.025421837866641636,0.030366716091570413,0.030769762495719732,0.0009221374461860415,0.025421837866641636,0.030366716091570413,0.030769762495719732
test_CALCE,CALCE_CS2_35,50,0.006727599894665715,0.07923247282641505,0.08202194764004153,0.0858231759897103,0.006727599894665715,0.07923247282641505,0.08202194764004153,0.0858231759897103
test_CALCE,CALCE_CS2_36,0,0.011975761804238627,0.10717209482747928,0.10943382385825064,0.11258058344317202,0.011975761804238627,0.10717209482747928,0.10943382385825064,0.11258058344317202
test_CALCE,CALCE_CS2_36,100,0.00604444589284751,0.07614887225637088,0.07774603457956882,0.08208327391390487,0.00604444589284751,0.07614887225637088,0.07774603457956882,0.08208327391390487
test_CALCE,CALCE_CS2_36,150,0.00423220708581214,0.06294934846226123,0.06505541549949659,0.06864304343932041,0.00423220708581214,0.06294934846226123,0.06505541549949659,0.06864304343932041
test_CALCE,CALCE_CS2_36,200,0.0025876567159933985,0.047584063714893696,0.05086901528429068,0.05259877934506299,0.0025876567159933985,0.047584063714893696,0.05086901528429068,0.05259877934506299
test_CALCE,CALCE_CS2_36,250,0.001490527131245503,0.03295106213420617,0.03860734556072851,0.03697238050779198,0.001490527131245503,0.03295106213420617,0.03860734556072851,0.03697238050779198
test_CALCE,CALCE_CS2_36,300,0.0013049482000041432,0.030066927010124846,0.03612406677001004,0.03606970315624017,0.0013049482000041432,0.030066927010124846,0.03612406677001004,0.03606970315624017
test_CALCE,CALCE_CS2_36,350,0.0027845793140206495,0.041116454246138495,0.05276911325785804,0.05346148860389018,0.0027845793140206495,0.041116454246138495,0.05276911325785804,0.05346148860389018
test_CALCE,CALCE_CS2_36,50,0.008185803950791284,0.08889962972735532,0.09047543285771716,0.09489452446545903,0.008185803950791284,0.08889962972735532,0.09047543285771716,0.09489452446545903
test_CALCE,CALCE_CS2_37,0,0.011338596818921111,0.10347010431510192,0.10648284753386862,0.1097604643728398,0.011338596818921111,0.10347010431510192,0.10648284753386862,0.1097604643728398
test_CALCE,CALCE_CS2_37,100,0.005291235353832766,0.07093623245382713,0.07274087814862264,0.0775037901972078,0.005291235353832766,0.07093623245382713,0.07274087814862264,0.0775037901972078
